source,destination,time,ms,labels_popped,truncated,routes
GWL,SBLT,16:00,12.470,3956,0,50
DHU,CHZ,05:00,6.294,1,0,0
PVP,KTWS,05:00,8.955,2511,0,50
DPL,BSI,00:00,14.820,9195,0,50
CHLK,NHN,04:00,45.911,11662,0,50
KVR,KWM,10:00,10.468,3347,0,50
SJQ,VDS,01:00,13.094,2160,0,50
MHRG,PFM,20:00,7.273,1,0,0
NKM,BRST,20:00,11.398,2734,0,50
MGR,DKE,20:00,4.028,1,0,0
KKLU,MLPR,22:00,7.225,1,0,0
PLH,NMGT,08:00,4.092,1,0,0
JJR,BIRD,03:00,43.406,6088,0,50
KLRS,DQL,09:00,6.128,1899,0,50
MLGH,SNT,17:00,11.989,1626,0,50
DKD,BOY,23:00,34.992,13234,0,50
MQS,ULU,13:00,7.679,1710,0,50
DLJ,KWV,08:00,134.460,38616,1,24
OSN,SVKS,20:00,26.227,11702,0,50
VDN,GOM,10:00,20.053,9946,0,50
STLR,GOC,03:00,21.619,8377,0,50
LHU,CAF,16:00,2.097,1,0,0
DSO,DWP,02:00,14.406,6160,0,50
PRDP,DEOR,01:00,16.502,7986,0,50
BLQR,AZR,19:00,20.457,11139,0,50
JI,BRSR,08:00,1.803,1,0,0
PUKK,GMO,01:00,98.365,26576,0,50
KRP,UAA,07:00,6.626,1448,0,50
PHK,CKU,00:00,10.158,1119,0,50
GJL,RE,23:00,5.025,1,0,0
KXH,JTW,18:00,5.170,1,0,0
KJH,LD,13:00,12.383,3444,0,50
NED,VZR,18:00,22.970,12480,0,50
DJG,JRR,16:00,8.528,2949,0,50
ABKA,PKR,20:00,7.168,717,0,50
MRTL,JDB,02:00,5.052,1562,0,50
KSNG,NSL,00:00,8.139,1141,0,50
BDH,KRR,14:00,16.088,6409,0,50
WFD,PRNR,06:00,5.141,5789,0,50
CTA,JMU,20:00,4.531,1,0,0
OKA,ANND,19:00,4.500,1,0,0
SJN,KARR,11:00,3.498,1,0,0
GJN,DAL,22:00,2.932,1,0,0
BRGA,NSL,22:00,28.897,6280,0,50
BNW,BFP,01:00,11.283,1419,0,50
CNI,KQK,08:00,240.664,154616,1,5
DBD,MWRN,06:00,5.530,1949,0,50
MAG,SRGH,03:00,4.945,544,0,50
BIA,FUT,17:00,10.451,3387,0,50
DHW,DVG,05:00,24.920,12526,0,50
RCF,JTW,17:00,10.758,2507,0,50
PDX,ADR,05:00,4.923,1,0,0
KUR,HVR,03:00,153.786,96374,1,22
JL,SNPU,23:00,1.960,1,0,0
SPDM,UJH,10:00,3.484,1,0,0
RXL,KJ,05:00,13.374,2783,0,50
GGN,BDWS,17:00,14.235,2847,0,50
GNA,HRI,06:00,8.951,1175,0,50
DTC,KUCE,10:00,4.487,1,0,0
RMD,BIM,20:00,7.524,720,0,50
PTU,SJS,00:00,1.707,1,0,0
HRS,NGP,16:00,8.433,810,0,50
CGY,GLA,05:00,37.202,12912,0,50
BCN,ND,16:00,13.730,1833,0,50
Y,AF,18:00,6.026,1,0,0
JTJ,DDE,07:00,6.297,708,0,50
CBH,PAO,20:00,4.169,1,0,0
RGD,KIUL,07:00,12.537,2275,0,50
BRPL,SBR,20:00,10.054,1644,0,50
GAM,SD,10:00,155.176,56574,1,29
WAB,PNP,21:00,8.545,1,0,0
PANP,SLI,23:00,7.093,1,0,0
BAND,DDCC,02:00,45.435,12284,0,50
NMT,MGR,14:00,17.378,7299,0,50
LLI,TIBI,10:00,140.376,77266,0,50
BUDI,JNR,18:00,6.463,735,0,50
KER,MGME,13:00,12.109,2797,0,50
DWZ,ABD,11:00,2.128,1,0,0
DPL,GUG,12:00,4.375,317,0,11
MKU,PMKT,21:00,14.217,2101,0,50
CAP,MHBA,13:00,8.974,809,0,50
NBI,PKB,12:00,15.309,8173,0,50
